,0,1
0,download_data_path/process_wavs/43.wav,early on there were some significant delays in testing
1,download_data_path/process_wavs/253.wav,so I turned to him for insight on our post-pandemic future
2,download_data_path/process_wavs/61.wav,after speaking with the nurse. Decided to go in for her appointment
3,download_data_path/process_wavs/179.wav,even before the pandemic she was already working on a digital identity project called a known traveler identity program
4,download_data_path/process_wavs/202.wav,the future could lie in at home testing
5,download_data_path/process_wavs/180.wav,according to the guardian scientist working for the US military have designed a PCR test that has the potential to detect a virus as early as just 24 hours after its contracted
6,download_data_path/process_wavs/118.wav,could we soon be using these contact tracing apps here in the United States
7,download_data_path/process_wavs/37.wav,sound familiar deer has a pretty good idea of what is current students probably feel
8,download_data_path/process_wavs/32.wav,too many these measures may seem a little over the top
9,download_data_path/process_wavs/212.wav,and at the same time we hear maybe there's going to be another wave or this isn't going to really go away
10,download_data_path/process_wavs/116.wav,and if their families and loved ones are safe as well
11,download_data_path/process_wavs/151.wav,she's a special education teacher on Long Island and works with 3 to 5 year olds who have special needs
12,download_data_path/process_wavs/204.wav,if you're used to going out as being a curated dining experience Lynch describes the post-pandemic world as sort of a safety-focused obstacle course
13,download_data_path/process_wavs/87.wav,the PCR test would still be the most accurate
14,download_data_path/process_wavs/177.wav,and finally there is a vaccine for the flu
15,download_data_path/process_wavs/232.wav,those involve collecting a small blood sample either through a needle in the vein or three blood spot sample
16,download_data_path/process_wavs/198.wav,I want to remind you that this study has nothing to do with how soon we might see a vaccine for the Coronavirus
17,download_data_path/process_wavs/71.wav,for example for restaurant Maymay is open for delivery and is also hosting virtual dumpling classes
18,download_data_path/process_wavs/211.wav,the Australian government has asked more vulnerable staffers and their schools to work from home if possible
19,download_data_path/process_wavs/120.wav,doctors are seeing their patients on video or over the phone and medical records are being shared more often electronically
20,download_data_path/process_wavs/245.wav,what is a sign that the FDA believes that the benefits of this drug outweigh the risks in certain patients
21,download_data_path/process_wavs/182.wav,are we going to have to download apps
22,download_data_path/process_wavs/215.wav,now that's the one that detects whether or not someone is currently infected with covid-19
23,download_data_path/process_wavs/139.wav,and how he's taking care of his own Mental Health
